DATAFLOW,LAST UPDATE,freq,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Finland,2022,522,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Finland,2023,468,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,France,2014,517,e,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,France,2015,516,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,France,2016,553,e,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,France,2017,558,e,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,France,2018,557,e,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,France,2019,555,e,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,France,2020,538,e,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,France,2021,564,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,France,2022,535,ep,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,France,2023,530,ep,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Croatia,2014,390,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Croatia,2015,398,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Croatia,2016,409,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Croatia,2017,424,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Croatia,2018,443,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Croatia,2019,459,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Croatia,2020,433,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Croatia,2021,456,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Croatia,2022,478,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Croatia,2023,475,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Hungary,2014,386,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Hungary,2015,379,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Hungary,2016,381,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Hungary,2017,387,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Hungary,2018,384,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Hungary,2019,390,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Hungary,2020,406,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Hungary,2021,420,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Hungary,2022,407,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Hungary,2023,429,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Ireland,2014,562,b,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Ireland,2016,580,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Ireland,2017,573,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Ireland,2018,595,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Ireland,2019,620,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Ireland,2020,637,b,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Iceland,2014,535,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Iceland,2015,588,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Iceland,2016,655,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Iceland,2017,656,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Iceland,2018,702,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Iceland,2020,614,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Iceland,2021,659,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Iceland,2022,595,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Italy,2014,492,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Italy,2015,490,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Italy,2016,501,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Italy,2017,493,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Italy,2018,502,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Italy,2019,503,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Italy,2020,487,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Italy,2021,495,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Italy,2022,486,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Lithuania,2014,432,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Lithuania,2015,447,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Lithuania,2016,442,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Lithuania,2017,453,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Lithuania,2018,461,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Lithuania,2019,469,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Lithuania,2020,480,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Lithuania,2021,479,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Lithuania,2022,465,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Lithuania,2023,446,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Luxembourg,2014,626,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Luxembourg,2015,607,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Luxembourg,2016,815,b,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Luxembourg,2017,798,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Luxembourg,2018,803,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Luxembourg,2019,791,e,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Luxembourg,2020,790,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Luxembourg,2021,793,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Luxembourg,2022,721,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Luxembourg,2023,712,,
