DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Germany,2023,49520,p,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Germany,2024,50820,p,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Denmark,2015,357280,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Denmark,2016,366840,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Denmark,2017,379800,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Denmark,2018,387230,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Denmark,2019,396020,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Denmark,2020,399090,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Denmark,2021,438560,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Denmark,2022,481550,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Denmark,2023,471540,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Denmark,2024,495400,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2015,31370,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2016,32120,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2017,33260,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2018,34270,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,35310,,
